index,date,temperatures(C),humidity(%),pressure(hPa),energy
0,1/1/2021 0:00,-1.8,79,1018.5,151.04
1,1/1/2021 1:00,-2.9,83,1018.2,152.2725781
2,1/1/2021 2:00,-2.9,81,1018.2,151.6989844
3,1/1/2021 3:00,-2.8,86,1018.6,146.8430937
4,1/1/2021 4:00,-2.9,87,1018.6,145.5366563
5,1/1/2021 5:00,-4.1,93,1018.2,149.1186875
6,1/1/2021 6:00,-4.8,92,1018.4,145.2428125
7,1/1/2021 7:00,-4.3,94,1018.9,141.4411875
8,1/1/2021 8:00,-3.9,95,1018.8,128.288625
9,1/1/2021 9:00,-3,95,1019.1,128.90775
10,1/1/2021 10:00,-2.5,93,1019.6,126.77775
11,1/1/2021 11:00,-0.9,86,1019.3,130.34225
12,1/1/2021 12:00,0.4,79,1018.4,126.29475
13,1/1/2021 13:00,1.5,74,1017.6,129.592
14,1/1/2021 14:00,1.7,74,1017.3,127.5295
15,1/1/2021 15:00,2.8,70,1016.8,147.9215
16,1/1/2021 16:00,2.4,63,1016.8,158.217625
17,1/1/2021 17:00,2.1,67,1016.7,157.37075
18,1/1/2021 18:00,1.1,78,1016.7,163.607
19,1/1/2021 19:00,1.5,72,1016.8,165.832
20,1/1/2021 20:00,1.8,68,1017,173.4395
21,1/1/2021 21:00,1.1,76,1016.9,183.5735
22,1/1/2021 22:00,0.8,84,1017,165.13925
23,1/1/2021 23:00,0.7,87,1016.6,162.43375
24,1/2/2021 0:00,0.7,89,1016.6,159.823
25,1/2/2021 1:00,0.2,95,1016.7,157.436
26,1/2/2021 2:00,0.1,97,1016.8,156.845
27,1/2/2021 3:00,-0.1,98,1016.5,146.98125
28,1/2/2021 4:00,0.2,98,1016.6,146.156
29,1/2/2021 5:00,0,98,1016.4,150.11575
30,1/2/2021 6:00,0.1,98,1017,141.6955
31,1/2/2021 7:00,0,98,1017.6,130.0085
32,1/2/2021 8:00,-0.5,97,1018.2,120.6355
33,1/2/2021 9:00,-0.3,94,1019.1,132.042
34,1/2/2021 10:00,0.7,79,1020,129.147
35,1/2/2021 11:00,1.4,64,1020.1,135.978
36,1/2/2021 12:00,1.5,55,1019.8,146.4815
37,1/2/2021 13:00,2.2,48,1020,145.252
38,1/2/2021 14:00,2.5,46,1019.8,164.404
39,1/2/2021 15:00,2.4,38,1019.5,184.5535
40,1/2/2021 16:00,1.7,33,1019.8,183.171
41,1/2/2021 17:00,0.2,41,1021.6,175.5115
42,1/2/2021 18:00,-0.6,48,1022.2,196.834
43,1/2/2021 19:00,-1,51,1022.3,193.1145
44,1/2/2021 20:00,-1.9,54,1022.1,183.819
45,1/2/2021 21:00,-2.3,54,1022.1,179.42
46,1/2/2021 22:00,-2.6,55,1021.7,179.9485
47,1/2/2021 23:00,-3.1,58,1022.8,178.014
48,1/3/2021 0:00,-2.9,57,1023.2,169.148
49,1/3/2021 1:00,-2.6,56,1024.1,150.1595
50,1/3/2021 2:00,-2.6,62,1024.1,150.283
51,1/3/2021 3:00,-2.7,59,1024.2,151.312
52,1/3/2021 4:00,-2.6,56,1024,143.6415
53,1/3/2021 5:00,-2.7,55,1024.6,144.7725
54,1/3/2021 6:00,-2.8,56,1025.1,143.8865
55,1/3/2021 7:00,-2.9,59,1025.1,133.1525
56,1/3/2021 8:00,-3.2,57,1024.9,127.546
57,1/3/2021 9:00,-2.2,52,1025.2,131.009
58,1/3/2021 10:00,-0.7,45,1025.9,137.779
59,1/3/2021 11:00,0.3,42,1025.6,150.929
60,1/3/2021 12:00,1.1,43,1025,156.379
61,1/3/2021 13:00,2.3,44,1024,153.617
62,1/3/2021 14:00,3.4,42,1023.6,157.784
63,1/3/2021 15:00,2.8,47,1023.8,172.796
64,1/3/2021 16:00,2.3,49,1023.5,193.056
65,1/3/2021 17:00,1.5,51,1023.6,197.332
66,1/3/2021 18:00,0.8,54,1023.9,202.505
67,1/3/2021 19:00,0.5,55,1024,189.093
68,1/3/2021 20:00,0.1,58,1024,179.959
69,1/3/2021 21:00,-0.3,58,1024.1,188.385
70,1/3/2021 22:00,-0.5,58,1024.2,182.283
71,1/3/2021 23:00,-0.7,61,1024.5,185.079
72,1/4/2021 0:00,-1.3,68,1024.3,165.461
73,1/4/2021 1:00,-1.2,70,1024.5,154.27
74,1/4/2021 2:00,-2.3,74,1024.5,150.996
75,1/4/2021 3:00,-2.5,76,1024.3,149.086
76,1/4/2021 4:00,-2.5,77,1024.1,145.371
77,1/4/2021 5:00,-2.9,81,1023.8,142.201
78,1/4/2021 6:00,-3.5,84,1023.7,143.049
79,1/4/2021 7:00,-2.8,73,1023,146.297
80,1/4/2021 8:00,-2.3,64,1021.8,149.063
81,1/4/2021 9:00,-2.8,83,1023,159.476
82,1/4/2021 10:00,-0.7,63,1024.1,189.238
83,1/4/2021 11:00,0.8,56,1023.8,197.976
84,1/4/2021 12:00,3.6,48,1022.3,221.038
85,1/4/2021 13:00,4.7,49,1021.7,216.699
86,1/4/2021 14:00,5.8,46,1020.8,226.082
87,1/4/2021 15:00,6.6,48,1020.3,243.913
88,1/4/2021 16:00,5.6,57,1020,230.165
89,1/4/2021 17:00,4.5,61,1019.6,0
90,1/4/2021 18:00,4.1,62,1019.9,264.598
91,1/4/2021 19:00,3.3,72,1020.2,238.386
92,1/4/2021 20:00,2.7,81,1020,222.901
93,1/4/2021 21:00,2.2,83,1020.6,209.285
94,1/4/2021 22:00,1.9,86,1020.2,200.552
95,1/4/2021 23:00,1.4,88,1020.1,196.535
96,1/5/2021 0:00,1.7,90,1020.2,179.729
97,1/5/2021 1:00,1.3,93,1019.8,165.626
98,1/5/2021 2:00,1.2,92,1019.8,152.233
99,1/5/2021 3:00,1.1,92,1019.7,146.857
100,1/5/2021 4:00,1.2,93,1019.2,143.094
101,1/5/2021 5:00,1.2,95,1018.4,142.966
102,1/5/2021 6:00,1.4,94,1018.6,140.469
103,1/5/2021 7:00,1.9,84,1020.3,143.864
104,1/5/2021 8:00,1.1,67,1020.6,134.992
105,1/5/2021 9:00,1.7,62,1021.3,159.722
106,1/5/2021 10:00,2.7,58,1021.5,186.646
107,1/5/2021 11:00,2.9,50,1021.9,209.84
108,1/5/2021 12:00,2.1,54,1021.7,230.822
109,1/5/2021 13:00,1.6,54,1020.2,252.158
110,1/5/2021 14:00,1.3,50,1019,270.442
111,1/5/2021 15:00,0.3,49,1019.2,273.042
112,1/5/2021 16:00,-0.2,48,1018.7,269.942
113,1/5/2021 17:00,-0.8,47,1019.3,268.56
114,1/5/2021 18:00,-1.5,48,1020.4,257.762
115,1/5/2021 19:00,-2.1,49,1020.5,236.55
116,1/5/2021 20:00,-2.5,52,1020.3,220.972
117,1/5/2021 21:00,-2.8,55,1020.6,210.22
118,1/5/2021 22:00,-3.2,58,1020.3,205.758
119,1/5/2021 23:00,-3.5,63,1020.5,195.904
120,1/6/2021 0:00,-4,65,1020.5,176.44
121,1/6/2021 1:00,-4.3,64,1020.6,170.1
122,1/6/2021 2:00,-4.9,62,1020.3,155.232
123,1/6/2021 3:00,-5.1,61,1020.1,136.396
124,1/6/2021 4:00,-5.1,60,1018.9,135.35
125,1/6/2021 5:00,-5.4,61,1018.9,135.672
126,1/6/2021 6:00,-5.4,59,1018.5,130.422
127,1/6/2021 7:00,-5.4,62,1018.4,135.534
128,1/6/2021 8:00,-4.9,57,1018.5,128.642
129,1/6/2021 9:00,-4.5,55,1019,144.164
130,1/6/2021 10:00,-3.9,55,1018.4,179.178
131,1/6/2021 11:00,-1.8,53,1017.8,215.742
132,1/6/2021 12:00,-0.8,51,1017.2,220
